,antecedent,consequent,support,confidence
154,[32],[38],0.14257784422529543,0.7056061468412067
155,"[32, 43]",[38],0.10235473390644317,0.9676542538733351
156,[6],[39],0.09786952646559903,0.747310647639956
157,"[6, 35]",[39],0.09151548259106984,0.798544907175113
158,[6],[39],0.09786952646559903,0.747310647639956
159,"[6, 31]",[39],0.09128547195307783,0.8705785577186729
160,[25],[40],0.09927834162330008,0.8788495800458133
161,"[9, 25]",[40],0.09232051982404187,0.9491575524682235
162,[25],[40],0.09927834162330008,0.8788495800458133
163,"[22, 25]",[40],0.08174003047640953,0.9495657982631929
164,[18],[41],0.11043385756591242,0.702836230558097
165,"[18, 36]",[41],0.09163048791006584,0.7957553058676654
166,[18],[41],0.11043385756591242,0.702836230558097
167,"[18, 26]",[41],0.09220551450504585,0.9435127978817298
168,[43],[42],0.08487392541905063,0.6055384615384616
169,"[38, 43]",[42],0.06914694804634715,0.6154042988741044
170,[43],[42],0.08487392541905063,0.6055384615384616
171,"[43, 54]",[42],0.06006152784566286,0.9388764044943821
172,[42],[43],0.08487392541905063,0.8661971830985915
173,"[38, 42]",[43],0.06914694804634715,0.9539865132883777
174,[42],[43],0.08487392541905063,0.8661971830985915
175,"[42, 54]",[43],0.06006152784566286,0.8625103220478944
176,[53],[44],0.04071188292458526,0.33146067415730335
177,"[51, 53]",[44],0.03608291883499612,0.3288784067085954
178,[53],[44],0.04071188292458526,0.33146067415730335
179,"[47, 53]",[44],0.03585290819700411,0.5995192307692307
180,[54],[45],0.06719185762341508,0.8211524947294447
181,"[54, 59]",[45],0.05002731376326155,0.8959835221421214
182,[54],[45],0.06719185762341508,0.8211524947294447
183,"[42, 54]",[45],0.058882723325953824,0.8455821635012387
184,[49],[46],0.06946321267358616,0.8495077355836849
185,"[49, 52]",[46],0.04942353583853253,0.9722850678733033
186,[49],[46],0.06946321267358616,0.8495077355836849
187,"[23, 49]",[46],0.06687559299617607,0.9018999612252812
188,[53],[47],0.059802765877921854,0.4868913857677903
189,"[51, 53]",[47],0.05503004513958771,0.5015723270440252
190,[53],[47],0.059802765877921854,0.4868913857677903
191,"[44, 53]",[47],0.03585290819700411,0.8806497175141244
192,[15],[48],0.04968229780627354,0.5820141461771641
193,"[15, 55]",[48],0.04603087892815043,0.8382198952879581
194,[15],[48],0.04968229780627354,0.5820141461771641
195,"[15, 43]",[48],0.04413329116471637,0.6557026911576249
196,[46],[49],0.06946321267358616,0.84593837535014
197,"[46, 52]",[49],0.04942353583853253,0.9806046776953794
198,[46],[49],0.06946321267358616,0.84593837535014
199,"[23, 46]",[49],0.06687559299617607,0.8823975720789075
200,[15],[50],0.024984905551881775,0.29269114179858535
201,"[15, 55]",[50],0.02354733906443173,0.42879581151832463
202,[15],[50],0.024984905551881775,0.29269114179858535
203,"[15, 48]",[50],0.024294873637905754,0.48900462962962965
204,[53],[51],0.1097150743221874,0.8932584269662921
205,"[45, 53]",[51],0.06880193208935913,0.9763361893104854
206,[53],[51],0.1097150743221874,0.8932584269662921
207,"[9, 53]",[51],0.09134297461257583,0.9848109113453193
208,[49],[52],0.05083235099623357,0.6216596343178621
209,"[46, 49]",[52],0.04942353583853253,0.7115066225165563
210,[49],[52],0.05083235099623357,0.6216596343178621
211,"[23, 49]",[52],0.04939478450878353,0.6661496704148896
212,[51],[53],0.1097150743221874,0.7529597474348856
213,"[45, 51]",[53],0.06880193208935913,0.9033597583993959
214,[51],[53],0.1097150743221874,0.7529597474348856
215,"[9, 51]",[53],0.09134297461257583,0.7928624906413776
216,[45],[54],0.06719185762341508,0.773073106185908
217,"[45, 59]",[54],0.05002731376326155,0.8819057273188038
218,[45],[54],0.06719185762341508,0.773073106185908
219,"[42, 45]",[54],0.058882723325953824,0.9287981859410431
220,[15],[55],0.054915039820591705,0.6433142472212866
221,"[15, 48]",[55],0.04603087892815043,0.9265046296296297
222,[15],[55],0.054915039820591705,0.6433142472212866
223,"[15, 43]",[55],0.04864724993530951,0.7227680478428021
224,[49],[56],0.033409045168339035,0.4085794655414908
225,"[46, 49]",[56],0.03208648399988499,0.4619205298013245
226,[49],[56],0.033409045168339035,0.4085794655414908
